2025-09-07 10:12:56 | INFO | scraper | Fetched page 4 for 07/22/2025
2025-09-07 10:12:56 | INFO | scraper | Fetched page 1 for 07/30/2025
2025-09-07 10:12:57 | INFO | scraper | Fetched page 3 for 07/16/2025
2025-09-07 10:12:59 | INFO | scraper | Fetched page 4 for 07/16/2025
2025-09-07 10:12:59 | INFO | scraper | Fetched page 4 for 07/14/2025
2025-09-07 10:12:59 | INFO | scraper | Updated date collection for 07/15/2025: Page 1, Failed pages: []
2025-09-07 10:13:00 | INFO | scraper | Fetched page 4 for 07/17/2025
2025-09-07 10:13:00 | INFO | scraper | Fetched page 4 for 07/10/2025
2025-09-07 10:13:01 | INFO | scraper | Fetched page 3 for 07/20/2025
2025-09-07 10:13:01 | INFO | scraper | Fetched page 1 for 07/15/2025
2025-09-07 10:13:01 | INFO | scraper | Fetched page 2 for 07/22/2025
2025-09-07 10:13:01 | ERROR | scraper | Request exception on page 1 for 07/27/2025: 
2025-09-07 10:13:01 | ERROR | scraper | Request exception on page 1 for 07/06/2025: 
2025-09-07 10:13:01 | ERROR | scraper | Request exception on page 1 for 07/24/2025: 
2025-09-07 10:13:01 | ERROR | scraper | Request exception on page 1 for 07/28/2025: 
2025-09-07 10:13:01 | ERROR | scraper | Request exception on page 1 for 07/21/2025: 
2025-09-07 10:13:01 | ERROR | scraper | Request exception on page 1 for 07/13/2025: 
2025-09-07 10:13:01 | ERROR | scraper | Request exception on page 1 for 07/29/2025: 
2025-09-07 10:13:01 | INFO | scraper | Fetched page 5 for 07/20/2025
2025-09-07 10:13:01 | INFO | scraper | Fetched page 3 for 07/10/2025
2025-09-07 10:13:02 | INFO | scraper | Fetched page 5 for 07/30/2025
2025-09-07 10:13:02 | INFO | scraper | Fetched page 2 for 07/14/2025
2025-09-07 10:13:02 | INFO | scraper | Fetched page 4 for 07/20/2025
2025-09-07 10:13:04 | INFO | scraper | Skipped 500 existing records
2025-09-07 10:13:04 | INFO | scraper | Skipped 500 existing records
2025-09-07 10:13:04 | INFO | scraper | Skipped 500 existing records
2025-09-07 10:13:04 | INFO | scraper | Skipped 500 existing records
2025-09-07 10:13:04 | INFO | scraper | Inserted 500 new records, skipped 0 existing records
2025-09-07 10:13:04 | INFO | scraper | Inserted 500 new records, skipped 0 existing records
2025-09-07 10:13:04 | ERROR | scraper | Request exception on page 2 for 07/09/2025: 
2025-09-07 10:13:04 | ERROR | scraper | Request exception on page 3 for 07/09/2025: 
2025-09-07 10:13:05 | ERROR | scraper | Request exception on page 3 for 07/02/2025: 
2025-09-07 10:13:05 | INFO | scraper | Fetched page 2 for 07/20/2025
2025-09-07 10:13:06 | INFO | scraper | Fetched page 2 for 07/10/2025
2025-09-07 10:13:06 | INFO | scraper | Fetched page 3 for 07/15/2025
2025-09-07 10:13:06 | INFO | scraper | Fetched page 2 for 07/09/2025
2025-09-07 10:13:07 | ERROR | scraper | Request exception on page 2 for 07/08/2025: 
2025-09-07 10:13:07 | INFO | scraper | Fetched page 3 for 07/09/2025
2025-09-07 10:13:07 | ERROR | scraper | Request exception on page 1 for 07/03/2025: 
2025-09-07 10:13:07 | ERROR | scraper | Request exception on page 4 for 07/03/2025: 
2025-09-07 10:13:08 | ERROR | scraper | Request exception on page 3 for 07/07/2025: 
2025-09-07 10:13:08 | ERROR | scraper | Request exception on page 4 for 07/07/2025: 
2025-09-07 10:13:08 | INFO | scraper | Fetched page 5 for 07/10/2025
2025-09-07 10:13:09 | INFO | scraper | Fetched page 1 for 07/21/2025
2025-09-07 10:13:09 | INFO | scraper | Fetched page 1 for 07/28/2025
2025-09-07 10:13:09 | ERROR | scraper | Request exception on page 4 for 07/17/2025: 
2025-09-07 10:13:09 | ERROR | scraper | Request exception on page 2 for 07/17/2025: 
2025-09-07 10:13:09 | ERROR | scraper | Request exception on page 5 for 07/17/2025: 
2025-09-07 10:13:09 | INFO | scraper | Fetched page 4 for 07/30/2025
2025-09-07 10:13:09 | INFO | scraper | Fetched page 2 for 07/08/2025
2025-09-07 10:13:10 | INFO | scraper | Fetched page 4 for 07/15/2025
2025-09-07 10:13:10 | INFO | scraper | Fetched page 1 for 07/03/2025
2025-09-07 10:13:10 | INFO | scraper | Fetched page 5 for 07/14/2025
2025-09-07 10:13:10 | INFO | scraper | Fetched page 2 for 07/30/2025
2025-09-07 10:13:10 | INFO | scraper | Fetched page 5 for 07/15/2025
2025-09-07 10:13:11 | INFO | scraper | Fetched page 3 for 07/30/2025
2025-09-07 10:13:11 | INFO | scraper | Fetched page 3 for 07/14/2025
2025-09-07 10:13:11 | INFO | scraper | Fetched page 1 for 07/24/2025
2025-09-07 10:13:11 | INFO | scraper | Fetched page 1 for 07/06/2025
2025-09-07 10:13:12 | INFO | scraper | Fetched page 4 for 07/17/2025
2025-09-07 10:13:12 | ERROR | scraper | Request exception on page 4 for 07/16/2025: 
2025-09-07 10:13:12 | ERROR | scraper | Request exception on page 2 for 07/16/2025: 
2025-09-07 10:13:12 | INFO | scraper | Fetched page 1 for 07/29/2025
2025-09-07 10:13:12 | INFO | scraper | Fetched page 1 for 07/27/2025
2025-09-07 10:13:13 | INFO | scraper | Fetched page 1 for 07/13/2025
